"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","186","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3460","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","4906","0.0-2.0","1445","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","14389","0.0-4.0","9480.59999999404","","","[{""page_index"":0,""viewing_time"":3672.6999999955297},{""page_index"":1,""viewing_time"":3525.7000000029802},{""page_index"":2,""viewing_time"":2281.2999999970198}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","18669","0.0-5.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","1476","0","0","[0,1]","1","1","791","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","1","[0.454977237780171,0.653496130736817,0.380239160653103,0.41406753323319]","3","0","false"
"","","","","","two-step-trial","5","23317","0.0-6.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","1033","1","1","[2,3]","1","3","1606","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","2","[0.444575508386279,0.664768807427101,0.368113833255461,0.384499843520648]","3","0","false"
"","","","","","two-step-trial","6","27381","0.0-7.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","856","1","1","[2,3]","1","3","1199","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","3","[0.466100967944066,0.641149208687192,0.401732947213958,0.371342024516774]","3","0","false"
"","","","","","two-step-trial","7","31061","0.0-8.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","566","0","0","[0,1]","1","1","1108","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","4","[0.461836559463013,0.610872734447832,0.381153252375856,0.34913337259521]","3","0","false"
"","","","","","two-step-trial","8","35685","0.0-9.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","1681","1","1","[2,3]","1","3","930","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","5","[0.462895062582673,0.644937244803791,0.401992771893175,0.387923429327691]","3","0","false"
"","","","","","two-step-trial","9","40253","0.0-10.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","1543","0","0","[0,1]","1","1","1019","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","6","[0.47224916777666,0.643602068735968,0.356917120783363,0.440000717509238]","3","0","false"
"","","","","","two-step-trial","10","45005","0.0-11.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","758","1","1","[2,3]","1","3","1986","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","7","[0.492447786718447,0.638622722298254,0.389351096964777,0.41359901189329]","3","0","false"
"","","","","","two-step-trial","11","48653","0.0-12.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","775","0","0","[0,1]","1","1","857","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","8","[0.543136415317512,0.610411288454012,0.397550476021269,0.438708489793228]","3","0","false"
"","","","","","two-step-trial","12","52181","0.0-13.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","738","0","0","[0,1]","1","1","784","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","9","[0.565654248597652,0.612434028132196,0.412647147745091,0.43674821194951]","3","0","false"
"","","","","","two-step-trial","13","56013","0.0-14.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","851","1","1","[2,3]","1","3","975","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","10","[0.609471861949494,0.633454965473759,0.378000710922303,0.427414838659987]","3","0","false"
"","","","","","two-step-trial","14","62229","0.0-15.0-0.0","","","","","022","undefinedundefined","more","[0,1]","1","1","3821","1","1","[2,3]","1","3","384","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","11","[0.61015445499944,0.634155381438399,0.363273809992282,0.419797063340683]","3","0","false"
"","","","","","two-step-trial","15","77245","0.0-16.0-0.0","","","","","022","undefinedundefined","more","[0,1]","null","null","null","1","null","[0,1]","null","null","null","null","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","12","[0.577309221745036,0.634441715239938,0.355172908365825,0.408969226777663]","3","0","true"
"","","","","","two-step-trial","16","92261","0.0-16.1-0.1","","","","","022","undefinedundefined","more","[0,1]","null","null","null","1","null","[0,1]","null","null","null","null","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[1581,1080]","1","12","[0.577309221745036,0.634441715239938,0.355172908365825,0.408969226777663]","3","1","true"
"","","","","","two-step-trial","17","107277","0.0-16.2-0.2","","","","","022","undefinedundefined","more","[0,1]","null","null","null","1","null","[0,1]","null","null","null","null","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","[913,968]","1","12","[0.577309221745036,0.634441715239938,0.355172908365825,0.408969226777663]","3","1","true"
