"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","359","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2308","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","4467","0.0-2.0","2155","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","7211","0.0-4.0","2740","","","[{""page_index"":0,""viewing_time"":1360},{""page_index"":1,""viewing_time"":758},{""page_index"":2,""viewing_time"":622}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","11289","0.0-5.0-0.0","","","","","003","ema10","tdcs23","[0,1]","1","1","1319","1","1","[2,3]","1","3","748","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","1","[0.305,0.438,0.598,0.713]","3","0","false"
"","","","","","two-step-trial","5","14930","0.0-6.0-0.0","","","","","003","ema10","tdcs23","[0,1]","1","1","711","0","0","[0,1]","1","1","919","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","2","[0.326,0.396,0.598,0.702]","3","0","false"
"","","","","","two-step-trial","6","31537","0.0-7.0-0.0","","","","","003","ema10","tdcs23","[0,1]","1","1","801","0","0","[0,1]","null","null","null","null","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","3","[0.302,0.426,0.576,0.736]","3","2","true"
"","","","","","two-step-trial","7","46543","0.0-7.1-0.1","","","","","003","ema10","tdcs23","[0,1]","null","null","null","0","null","[0,1]","null","null","null","null","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[724,963]","1","3","[0.302,0.426,0.576,0.736]","3","0","true"
"","","","","","two-step-trial","8","61553","0.0-7.2-0.2","","","","","003","ema10","tdcs23","[0,1]","null","null","null","0","null","[0,1]","null","null","null","null","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[724,963]","1","3","[0.302,0.426,0.576,0.736]","3","0","true"
"","","","","","two-step-trial","9","76562","0.0-7.3-0.3","","","","","003","ema10","tdcs23","[0,1]","null","null","null","0","null","[0,1]","null","null","null","null","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[724,963]","1","3","[0.302,0.426,0.576,0.736]","3","0","true"
"","","","","","two-step-trial","10","91570","0.0-7.4-0.4","","","","","003","ema10","tdcs23","[0,1]","null","null","null","0","null","[0,1]","null","null","null","null","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[724,963]","1","3","[0.302,0.426,0.576,0.736]","3","0","true"
