"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","record_id","session","project","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing"
"true","false","[]","[]","[]","preload","0","199","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","33532","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","2","52668","0.0-2.0","19125","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","67701","0.0-4.0","15040","","","[{""page_index"":0,""viewing_time"":4454.000000000007},{""page_index"":1,""viewing_time"":4683.999999999993},{""page_index"":2,""viewing_time"":5900}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","75601","0.0-5.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","3437","1","0","[0,1]","0","0","2452","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","1","[0.77754939694634,0.628869370378107,0.411514675355676,0.48374038249648]","1","0","false"
"","","","","","two-step-trial","5","82212","0.0-6.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","3622","1","0","[0,1]","0","0","981","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","2","[0.728010341193036,0.632939064930025,0.376594997404785,0.503222630526124]","1","0","false"
"","","","","","two-step-trial","6","87261","0.0-7.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","1758","1","0","[0,1]","0","0","1280","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","3","[0.766462207330161,0.614114204555349,0.368958368279496,0.525027617110072]","1","0","false"
"","","","","","two-step-trial","7","92425","0.0-8.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","1741","1","1","[2,3]","0","2","1413","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","4","[0.750856026769416,0.678406530251279,0.391008012741583,0.507314505589291]","1","0","false"
"","","","","","two-step-trial","8","97878","0.0-9.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","2210","0","0","[0,1]","1","1","1231","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","5","[0.769379866088457,0.640772768491198,0.37456789062922,0.485020302970175]","1","0","false"
"","","","","","two-step-trial","9","103492","0.0-10.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","2289","1","0","[0,1]","0","0","1315","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","6","[0.729683481056127,0.650855103345906,0.39668273334501,0.503956019401732]","1","0","false"
"","","","","","two-step-trial","10","107876","0.0-11.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","1259","1","1","[2,3]","1","3","1115","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","7","[0.735601779354327,0.628211098999289,0.43794963435311,0.582536617131063]","1","0","false"
"","","","","","two-step-trial","11","112125","0.0-12.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","1191","1","1","[2,3]","0","2","1048","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","8","[0.731701301081516,0.661697934475997,0.430464054633023,0.605189223286075]","1","0","false"
"","","","","","two-step-trial","12","116341","0.0-13.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","1125","1","0","[0,1]","0","0","1080","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","9","[0.742422378523664,0.663097480792188,0.437826977791863,0.567462235438389]","1","0","false"
"","","","","","two-step-trial","13","120626","0.0-14.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","1224","1","0","[0,1]","0","0","1049","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","10","[0.770026616432775,0.621542930847143,0.462244256831203,0.602201652950964]","1","0","false"
"","","","","","two-step-trial","14","124943","0.0-15.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","1174","1","0","[0,1]","1","1","1130","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","11","[0.765235638457572,0.617929350511883,0.424339799895564,0.57803727902685]","1","0","false"
"","","","","","two-step-trial","15","128943","0.0-16.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","1090","0","0","[0,1]","1","1","898","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","12","[0.782280484428043,0.635594392379723,0.4281466544126,0.568136202127177]","1","0","false"
"","","","","","two-step-trial","16","133344","0.0-17.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","1124","1","1","[2,3]","1","3","1265","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","13","[0.764221468881935,0.639878735532183,0.439109100371614,0.560556081725153]","1","0","false"
"","","","","","two-step-trial","17","137528","0.0-18.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","1023","0","0","[0,1]","0","0","1147","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","14","[0.701629339284311,0.581859317853782,0.452502524004401,0.533946966307866]","1","0","false"
"","","","","","two-step-trial","18","141812","0.0-19.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","1007","0","0","[0,1]","0","0","1265","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","15","[0.671415536199956,0.534881941532373,0.43287331275084,0.556165735996697]","1","0","false"
"","","","","","two-step-trial","19","145978","0.0-20.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","923","1","1","[2,3]","0","2","1232","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","16","[0.657487703414634,0.585055849156915,0.406705370381625,0.569850715742337]","1","0","false"
"","","","","","two-step-trial","20","150079","0.0-21.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","990","0","1","[2,3]","0","2","1098","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","17","[0.613987923421858,0.560207283405004,0.443344412054337,0.586376820522815]","1","0","false"
"","","","","","two-step-trial","21","154512","0.0-22.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","974","1","0","[0,1]","0","0","1447","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","18","[0.603460685819246,0.551365698290831,0.416280566839638,0.597028593062263]","1","0","false"
"","","","","","two-step-trial","22","158994","0.0-23.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","1123","0","1","[2,3]","0","2","1345","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","19","[0.648190582749811,0.543684009889613,0.441291480640156,0.591795624067237]","1","0","false"
"","","","","","two-step-trial","23","163096","0.0-24.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","975","0","1","[2,3]","1","3","1113","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","20","[0.694182645891926,0.621410821193631,0.42489898424996,0.563890815677804]","1","0","false"
"","","","","","two-step-trial","24","168579","0.0-25.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","2258","1","0","[0,1]","1","1","1214","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","21","[0.664147829886554,0.628458473724513,0.42885636780605,0.558745738554132]","1","0","false"
"","","","","","two-step-trial","25","176029","0.0-26.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","4441","1","1","[2,3]","1","3","997","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","22","[0.668060188678145,0.628408483105104,0.414478614336995,0.520377864974641]","1","0","false"
"","","","","","two-step-trial","26","180414","0.0-27.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","1390","1","0","[0,1]","0","0","981","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","23","[0.658435065239316,0.645803378766126,0.422394527573992,0.515945014303108]","1","0","false"
"","","","","","two-step-trial","27","184597","0.0-28.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","1174","0","1","[2,3]","0","2","997","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","24","[0.640229679309841,0.714169018668082,0.431648483148239,0.504251661403413]","1","0","false"
"","","","","","two-step-trial","28","188563","0.0-29.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","1","1","1040","1","1","[2,3]","1","3","914","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","25","[0.622773897583703,0.72046962608599,0.419075246047785,0.475465477906175]","1","0","false"
"","","","","","two-step-trial","29","193564","0.0-30.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","1874","1","0","[0,1]","0","0","1113","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","26","[0.605960097283073,0.728333351870652,0.39525403775899,0.461245174250586]","1","0","false"
"","","","","","two-step-trial","30","197565","0.0-31.0-0.0","","","","","0mb","undefinedundefined","undefined","[0,1]","0","0","1158","0","1","[2,3]","1","3","830","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","[980,401]","1","27","[0.629577427784297,0.69991937039713,0.404602689512437,0.432105343434343]","1","0","false"
